Curing Age,Cement (g),BEANCHAFF,paper ash,Weight of mortar,Temperature,Compressive strength
14,1,0,0,0.42,0,8.35
14,0.975,0,0.025,0.42,0,9.4
14,0.95,0,0.05,0.42,0,8.15
14,0.925,0,0.075,0.42,0,9.2
14,1,0,0,0.41,200,7.95
14,0.975,0,0.025,0.4,200,9.9
14,0.95,0,0.05,0.4,200,8.56
14,0.925,0,0.075,0.41,200,9.83
14,1,0,0,0.39,400,7.46
14,0.975,0,0.025,0.38,400,7.73
14,0.95,0,0.05,0.39,400,6.97
14,0.925,0,0.075,0.41,400,8.68
14,1,0,0,0.38,600,5.56
14,0.975,0,0.025,0.37,600,6.71
14,0.95,0,0.05,0.38,600,5.68
14,0.925,0,0.075,0.39,600,6.53
14,1,0,0,0.37,800,3.78
14,0.975,0,0.025,0.36,800,4.15
14,0.95,0,0.05,0.38,800,3.9
14,0.925,0,0.075,0.36,800,4.76
28,1,0,0,0.41,0,6.55
28,0.975,0,0.025,0.43,0,13.2
28,0.95,0,0.05,0.42,0,11.75
28,0.925,0,0.075,0.42,0,9
28,1,0,0,0.4,200,6.17
28,0.975,0,0.025,0.4,200,12.59
28,0.95,0,0.05,0.41,200,11.49
28,0.925,0,0.075,0.39,200,8.68
28,1,0,0,0.38,400,5.26
28,0.975,0,0.025,0.37,400,9.84
28,0.95,0,0.05,0.4,400,8.22
28,0.925,0,0.075,0.39,400,6.17
28,1,0,0,0.37,600,4.67
28,0.975,0,0.025,0.35,600,7.79
28,0.95,0,0.05,0.39,600,6.3
28,0.925,0,0.075,0.38,600,4.95
28,1,0,0,0.36,800,3.18
28,0.975,0,0.025,0.38,800,5.15
28,0.95,0,0.05,0.37,800,4.05
28,0.925,0,0.075,0.35,800,3.35
56,1,0,0,0.41,0,6.1
56,0.975,0,0.025,0.4,0,7.1
56,0.95,0,0.05,0.41,0,6.8
56,0.925,0,0.075,0.41,0,5.95
56,1,0,0,0.38,200,6.17
56,0.975,0,0.025,0.39,200,7.33
56,0.95,0,0.05,0.39,200,6.85
56,0.925,0,0.075,0.38,200,6.23
56,1,0,0,0.36,400,5.63
56,0.975,0,0.025,0.38,400,6.36
56,0.95,0,0.05,0.37,400,6.71
56,0.925,0,0.075,0.35,400,5.34
56,1,0,0,0.34,600,4.28
56,0.975,0,0.025,0.36,600,5.45
56,0.95,0,0.05,0.35,600,4.82
56,0.925,0,0.075,0.34,600,3.93
56,1,0,0,0.33,800,2.5
56,0.975,0,0.025,0.34,800,2.63
56,0.95,0,0.05,0.35,800,2.35
56,0.925,0,0.075,0.32,800,2.07
14,1,0,0,0.41,0,8.35
14,0.975,0.025,0,0.42,0,10.85
14,0.95,0.05,0,0.42,0,8.5
14,0.925,0.075,0,0.43,0,7.25
14,1,0,0,0.41,200,7.95
14,0.975,0.025,0,0.4,200,11.86
14,0.95,0.05,0,0.41,200,9.29
14,0.925,0.075,0,0.41,200,7.05
14,1,0,0,0.39,400,7.46
14,0.975,0.025,0,0.4,400,10.45
14,0.95,0.05,0,0.39,400,8.95
14,0.925,0.075,0,0.4,400,5.91
14,1,0,0,0.38,600,5.56
14,0.975,0.025,0,0.39,600,9.29
14,0.95,0.05,0,0.38,600,6.85
14,0.925,0.075,0,0.4,600,3.84
14,1,0,0,0.37,800,3.78
14,0.975,0.025,0,0.39,800,7.86
14,0.95,0.05,0,0.36,800,5.15
14,0.925,0.075,0,0.39,800,1.94
28,1,0,0,0.41,0,6.55
28,0.975,0.025,0,0.41,0,7.3
28,0.95,0.05,0,0.42,0,4.05
28,0.925,0.075,0,0.43,0,4.45
28,1,0,0,0.39,200,6.17
28,0.975,0.025,0,0.39,200,6.05
28,0.95,0.05,0,0.41,200,3.31
28,0.925,0.075,0,0.41,200,3.86
28,1,0,0,0.38,400,5.26
28,0.975,0.025,0,0.39,400,3.78
28,0.95,0.05,0,0.39,400,1.94
28,0.925,0.075,0,0.4,400,2.51
28,1,0,0,0.37,600,4.67
28,0.975,0.025,0,0.38,600,3.44
28,0.95,0.05,0,0.38,600,1.42
28,0.925,0.075,0,0.39,600,1.41
28,1,0,0,0.36,800,3.18
28,0.975,0.025,0,0.36,800,1.64
28,0.95,0.05,0,0.37,800,0.61
28,0.925,0.075,0,0.38,800,1.11
56,1,0,0,0.43,0,6.1
56,0.975,0.025,0,0.42,0,5.5
56,0.95,0.05,0,0.41,0,5.95
56,0.925,0.075,0,0.4,0,7.1
56,1,0,0,0.37,200,6.17
56,0.975,0.025,0,0.41,200,4.38
56,0.95,0.05,0,0.4,200,6.11
56,0.925,0.075,0,0.39,200,6.81
56,1,0,0,0.36,400,5.63
56,0.975,0.025,0,0.39,400,3.18
56,0.95,0.05,0,0.39,400,5.63
56,0.925,0.075,0,0.38,400,5.54
56,1,0,0,0.34,600,4.28
56,0.975,0.025,0,0.39,600,1.5
56,0.95,0.05,0,0.37,600,4.46
56,0.925,0.075,0,0.36,600,4.28
56,1,0,0,0.33,800,2.5
56,0.975,0.025,0,0.38,800,0.61
56,0.95,0.05,0,0.35,800,2.71
56,0.925,0.075,0,0.35,800,1.93
14,1,0,0,0.41,0,8.35
14,0.975,0.0125,0.0125,0.43,0,6.4
14,0.95,0.025,0.025,0.43,0,8.65
14,0.925,0.0375,0.0375,0.43,0,10.45
14,1,0,0,0.41,200,7.95
14,0.975,0.0125,0.0125,0.41,200,6.11
14,0.95,0.025,0.025,0.42,200,8.44
14,0.925,0.0375,0.0375,0.4,200,10.64
14,1,0,0,0.39,400,7.46
14,0.975,0.0125,0.0125,0.4,400,5.01
14,0.95,0.025,0.025,0.41,400,6.36
14,0.925,0.0375,0.0375,0.4,400,9.66
14,1,0,0,0.38,600,5.56
14,0.975,0.0125,0.0125,0.39,600,4.24
14,0.95,0.025,0.025,0.4,600,4.74
14,0.925,0.0375,0.0375,0.4,600,7.14
14,1,0,0,0.37,800,3.78
14,0.975,0.0125,0.0125,0.39,800,2.69
14,0.95,0.025,0.025,0.39,800,3.55
14,0.925,0.0375,0.0375,0.39,800,6.11
28,1,0,0,0.41,0,6.55
28,0.975,0.0125,0.0125,0.44,0,12.05
28,0.95,0.025,0.025,0.43,0,10
28,0.925,0.0375,0.0375,0.43,0,12.54
28,1,0,0,0.4,200,6.17
28,0.975,0.0125,0.0125,0.42,200,12.05
28,0.95,0.025,0.025,0.42,200,10.34
28,0.925,0.0375,0.0375,0.42,200,11.98
28,1,0,0,0.38,400,5.26
28,0.975,0.0125,0.0125,0.41,400,9.44
28,0.95,0.025,0.025,0.41,400,8.34
28,0.925,0.0375,0.0375,0.39,400,9.47
28,1,0,0,0.37,600,4.67
28,0.975,0.0125,0.0125,0.4,600,6.3
28,0.95,0.025,0.025,0.4,600,5.5
